5000,1335,2056
10000,1626,732
15000,2415,1015
20000,2389,3187
25000,3832,1234
30000,6002,1454
35000,5739,1610
40000,5039,3254
45000,5680,4162
50000,7342,4974
55000,6938,3735
60000,9617,2738
65000,9178,4000
70000,9222,3060
75000,11340,5361
80000,11547,4973
85000,13230,5921
90000,15555,6965
95000,14642,6356
100000,17241,5950
105000,16476,6352
110000,19463,8106
115000,18379,10235
120000,24827,8347
125000,22593,6172
130000,21319,10152
135000,22390,8841
140000,29042,9536
145000,23104,8468
150000,28956,6661
155000,23407,10222
160000,28323,6726
165000,26373,10600
170000,26372,6411
175000,23991,7505
180000,25897,12609
185000,27339,9783
190000,32919,13472
195000,32311,9610
200000,33991,12269
