-------------------------------------------------------------------------------
2 vs 1 Variant. treshold = 100
-------------------------------------------------------------------------------
2400000,1085.65,695.732
2500000,1245,737.563
2600000,1194.57,775.894
2700000,1326.31,840.296
2800000,1301.3,839.689
2900000,1345.78,917.113
3000000,1416.49,920.41
3100000,1436.02,1005.82
3200000,1469.2,1000.05
3300000,1534.47,1073.37
3400000,1578.39,1042.2
3500000,1755.91,1088.14
3600000,1759.67,1148.74
3700000,1925.47,1171.03
3800000,1881.16,1298.4
3900000,1786.88,1194.96
4000000,1947.75,1251.28
4100000,1866.73,1337.6
4200000,2243.98,1545.53
4300000,2371.17,1516.38
4400000,2428.84,1478.72
4500000,2628.41,1415.81
4600000,2182.02,1535.02
4700000,2232.4,1525.22
4800000,2322.16,1555.61
4900000,2519.05,1586.08
5000000,2655.34,1652.42
5100000,2659.08,1704.99
5200000,2699.04,1744.33
5300000,2737.35,1827.3
5400000,2811.84,1917.08
5500000,2917.45,2061.19
5600000,2946.3,1907.95
5700000,3100.9,2020.22
5800000,3914.34,2304.45
5900000,3936.45,2189.26
6000000,3521.28,2014.53
6100000,3327.32,2060.8
6200000,3312.18,2082.99
6300000,3375.95,2147.14
6400000,3378.07,2118.32
6500000,3476.44,2188.1
6600000,3586.17,2253.6
6700000,3659.78,2344.47
6800000,3812.79,2401.73
6900000,3808.26,2485.64
7000000,3779.18,2482.23
7100000,3865.36,2484.28
7200000,3907.8,2508.57
7300000,3878.43,2528.29
7400000,3951.62,2592.66
7500000,4052.54,2602.69
7600000,4079.86,2636.44
7700000,4085.38,2909.3
7800000,4123.85,2724.38
7900000,4275.43,2761.54
8000000,4221.96,2794.02
8100000,4249.59,2803.11
8200000,4294.81,2871.07
8300000,4407.46,2916.24
8400000,4442.24,2868.15
8500000,4463.67,2925.62
8600000,4555.45,2985.54
8700000,4569.77,3011.13
8800000,4653.68,3010.54
8900000,4907.24,3072.3
9000000,4780.55,3118.58
9100000,4889.79,3119.73
9200000,4869.03,3136.55
9300000,4890.68,3599.24
9400000,4999.86,3238.46
9500000,5266.52,3259.63
9600000,5168.24,3397.07
9700000,5064.21,3326.09
9800000,5136.23,3343.49
9900000,5204.15,3363.2
10000000,5281.68,3410.42
-------------------------------------------------------------------------------
2 vs 1 Variant. treshold = 300
