

5000,1348,1286
10000,3152,4554
15000,4244,2837
20000,5796,2194
25000,7164,3266
30000,8646,5343
35000,10189,3313
40000,11551,6993
45000,13430,4201
50000,14831,5093
55000,16480,4759
60000,17787,5729
65000,19360,5590
70000,21269,5804
75000,22592,9224
80000,24344,11590
85000,25566,7010
90000,27712,9134
95000,30334,10213
100000,29818,10198
105000,33029,9388
110000,33195,9476
115000,34759,10583
120000,37355,13073
125000,43114,10740
130000,41375,12561
135000,41473,12037
140000,42773,12203
145000,44263,13258
150000,47095,12591
155000,47517,14231
160000,49023,13501
165000,53151,14039
170000,53661,15163
175000,54231,15327
180000,57410,15552
185000,57629,16509
190000,59019,15933
195000,60914,17414
200000,66086,16999
